,Symbol,Industry,Sector
0,360ONE,Financial Services,Wealth Management
1,3MINDIA,Diversified,Diversified
2,ABB,Capital Goods,Capital Goods - Electrical Equipment
3,ACC,Construction Materials,Cement
4,ACMESOLAR,Power,Infrastructure Developers & Operators
5,AIAENG,Capital Goods,"Castings, Forgings & Fastners"
6,APLAPOLLO,Capital Goods,Steel
7,AUBANK,Financial Services,Banks - Private
8,AWL,Fast Moving Consumer Goods,Edible Oil
9,AADHARHFC,Financial Services,Housing Finance
10,AARTIIND,Chemicals,Chemicals
11,AAVAS,Financial Services,Housing Finance
12,ABBOTINDIA,Healthcare,Pharmaceuticals
13,ACE,Capital Goods,Capital Goods-Non Electrical Equipment
14,ADANIENSOL,Power,Power Generation & Distribution
15,ADANIENT,Metals & Mining,Trading
16,ADANIGREEN,Power,Power Generation & Distribution
17,ADANIPORTS,Services,Marine Port & Services
18,ADANIPOWER,Power,Power Generation & Distribution
19,ATGL,Oil Gas & Consumable Fuels,Gas Distribution
20,ABCAPITAL,Financial Services,Insurance
21,ABFRL,Consumer Services,Retail
22,ABREL,Forest Materials,Paper
23,ABSLAMC,Financial Services,AMC
24,AEGISLOG,Oil Gas & Consumable Fuels,Trading
25,AFCONS,Construction,Infrastructure Developers & Operators
26,AFFLE,Information Technology,IT - Software
27,AJANTPHARM,Healthcare,Pharmaceuticals
28,AKUMS,Healthcare,Pharmaceuticals
29,APLLTD,Healthcare,Pharmaceuticals
30,ALIVUS,Healthcare,Pharmaceuticals
31,ALKEM,Healthcare,Pharmaceuticals
32,ALKYLAMINE,Chemicals,Chemicals
33,ALOKINDS,Textiles,Textiles
34,ARE&M,Automobile and Auto Components,Auto Ancillaries
35,AMBER,Consumer Durables,Consumer Durables
36,AMBUJACEM,Construction Materials,Cement
37,ANANDRATHI,Financial Services,Wealth Management
38,ANANTRAJ,Realty,Realty
39,ANGELONE,Financial Services,Stock/ Commodity Brokers
40,APARINDS,Capital Goods,Capital Goods - Electrical Equipment
41,APOLLOHOSP,Healthcare,Healthcare
42,APOLLOTYRE,Automobile and Auto Components,Tyres
43,APTUS,Financial Services,Housing Finance
44,ASAHIINDIA,Automobile and Auto Components,Glass & Glass Products
45,ASHOKLEY,Capital Goods,Automobile - 4 Wheelers
46,ASIANPAINT,Consumer Durables,Paints/Varnish
47,ASTERDM,Healthcare,Healthcare
48,ASTRAZEN,Healthcare,Pharmaceuticals
49,ASTRAL,Capital Goods,Plastic products
50,ATUL,Chemicals,Chemicals
51,AUROPHARMA,Healthcare,Pharmaceuticals
52,AIIL,Financial Services,AMC
53,DMART,Consumer Services,Retail
54,AXISBANK,Financial Services,Banks - Private
55,BASF,Chemicals,Chemicals
56,BEML,Capital Goods,Aerospace & Defence
57,BLS,Consumer Services,IT - Software
58,BSE,Financial Services,Financial Services
59,BAJAJ-AUTO,Automobile and Auto Components,Automobile - 2 Wheelers
60,BAJFINANCE,Financial Services,NBFC
61,BAJAJFINSV,Financial Services,Holding
62,BAJAJHLDNG,Financial Services,Holding
63,BAJAJHFL,Financial Services,Housing Finance
64,BALKRISIND,Automobile and Auto Components,Tyres
65,BALRAMCHIN,Fast Moving Consumer Goods,Sugar
66,BANDHANBNK,Financial Services,Banks - Private
67,BANKBARODA,Financial Services,Banks - Public
68,BANKINDIA,Financial Services,Banks - Public
69,MAHABANK,Financial Services,Banks - Public
70,BATAINDIA,Consumer Durables,Leather
71,BAYERCROP,Chemicals,Agro Chemicals
72,BERGEPAINT,Consumer Durables,Paints/Varnish
73,BDL,Capital Goods,Aerospace & Defence
74,BEL,Capital Goods,Aerospace & Defence
75,BHARATFORG,Automobile and Auto Components,"Castings, Forgings & Fastners"
76,BHEL,Capital Goods,Capital Goods - Electrical Equipment
77,BPCL,Oil Gas & Consumable Fuels,Refineries
78,BHARTIARTL,Telecommunication,Telecomm-Service
79,BHARTIHEXA,Telecommunication,Telecomm-Service
80,BIKAJI,Fast Moving Consumer Goods,FMCG
81,BIOCON,Healthcare,Pharmaceuticals
82,BSOFT,Information Technology,IT - Software
83,BLUEDART,Services,Logistics
84,BLUESTARCO,Consumer Durables,Consumer Durables
85,BBTC,Fast Moving Consumer Goods,Auto Ancillaries
86,BOSCHLTD,Automobile and Auto Components,Auto Ancillaries
87,FIRSTCRY,Consumer Services,Retail
88,BRIGADE,Realty,Realty
89,BRITANNIA,Fast Moving Consumer Goods,FMCG
90,MAPMYINDIA,Information Technology,IT - Software
